,Name,Category,Lat,Lon,Capacity_MW,Commissioned,Color
0,Akaroa,All Locations,-43.81666666666667,172.98333333333332,,,black
1,Alexandra,All Locations,-45.24916666666667,169.37972222222223,,,black
2,Amberley,All Locations,-43.15,172.73333333333332,,,black
3,Aoraki Mount Cook,All Locations,-43.6,170.15,,,black
4,Arrowtown,All Locations,-44.95,168.83333333333334,,,black
5,Arthur's Pass,All Locations,-42.9,171.58333333333334,,,black
6,Ashburton,All Locations,-43.88333333333333,171.8,,,black
7,"Aspiring, Mt.,",All Locations,-44.38333333333333,168.76666666666668,,,black
8,Auckland,All Locations,-36.86666666666667,174.76666666666668,,,black
9,Awatere,All Locations,-41.61666666666667,174.16666666666666,,,black
10,Balclutha,All Locations,-46.25,169.75,,,black
11,Banks Pen.,All Locations,-43.75,173.25,,,black
12,Bay View,All Locations,-39.416666666666664,176.83333333333334,,,black
13,Blackball,All Locations,-42.36666666666667,171.43333333333334,,,black
14,Blenheim,All Locations,-41.63333333333333,173.95,,,black
15,Bligh Sound,All Locations,-44.78333333333333,167.53333333333333,,,black
16,Bluff,All Locations,-46.61666666666667,168.33333333333334,,,black
17,Breaksea Sd.,All Locations,-45.583333333333336,166.58333333333334,,,black
18,Bream B.,All Locations,-35.93333333333333,174.46666666666667,,,black
19,Bream Hd.,All Locations,-35.85,174.6,,,black
20,"Brett, C.",All Locations,-35.166666666666664,174.33333333333334,,,black
21,"Brunner, L.",All Locations,-42.61666666666667,171.45,,,black
22,Bulls,All Locations,-40.166666666666664,175.4,,,black
23,Cambridge,All Locations,-37.9,175.48333333333332,,,black
24,Canterbury Bight,All Locations,-44.266666666666666,171.91666666666666,,,black
25,Canterbury Plains,All Locations,-43.916666666666664,171.36666666666667,,,black
26,Carterton,All Locations,-41.03333333333333,175.51666666666668,,,black
27,Chalky Inlet,All Locations,-46.05,166.51666666666668,,,black
28,Christchurch,All Locations,-43.55,172.78333333333333,,,black
29,Clarence,All Locations,-42.166666666666664,173.93333333333334,,,black
30,Clifden,All Locations,-46.016666666666666,167.7,,,black
31,Clinton,All Locations,-46.2,81.53333333333333,,,black
32,Clutha,All Locations,-46.333333333333336,169.81666666666666,,,black
33,Clyde,All Locations,-45.2,169.33333333333334,,,black
34,"Coleridge, L.",All Locations,-43.28333333333333,171.5,,,black
35,Collingwood,All Locations,-40.68333333333333,172.66666666666666,,,black
36,"Colville, C.",All Locations,-36.483333333333334,175.35,,,black
37,"Cook, Mt./Aoraki Mount Cook",All Locations,-43.6,170.15,,,black
38,Cook Strait,All Locations,-41.25,174.48333333333332,,,black
39,Coromandel,All Locations,-36.75,175.51666666666668,,,black
40,Cromwell,All Locations,-45.05,169.23333333333332,,,black
41,Culverden,All Locations,-42.78333333333333,172.81666666666666,,,black
42,Cuvier I.,All Locations,-36.45,175.83333333333334,,,black
43,Dannevirke,All Locations,-40.2,176.13333333333333,,,black
44,Dargaville,All Locations,-35.95,173.86666666666667,,,black
45,Devonport,All Locations,-36.81666666666667,174.81666666666666,,,black
46,Donnelly's Crossing,All Locations,-35.7,173.63333333333333,,,black
47,Doubtful Sd.,All Locations,-45.333333333333336,166.81666666666666,,,black
48,Doubtless B.,All Locations,-34.916666666666664,173.43333333333334,,,black
49,Dunback,All Locations,-45.38333333333333,170.6,,,black
50,Dunedin,All Locations,-45.833333333333336,170.55,,,black
51,Dunstan Mts.,All Locations,-44.88333333333333,169.58333333333334,,,black
52,D'Uravile I.,All Locations,-40.833333333333336,173.91666666666666,,,black
53,Dusky Sd.,All Locations,-45.78333333333333,76.4,,,black
54,"Earnslaw, Mt.",All Locations,-44.53333333333333,168.45,,,black
55,East C.,All Locations,-37.7,178.58333333333334,,,black
56,Eastbourne,All Locations,-41.31666666666667,174.91666666666666,,,black
57,Edievale,All Locations,-45.81666666666667,169.36666666666667,,,black
58,"Egmont, Mt./Taranaki Mt.",All Locations,-39.266666666666666,173.75,,,black
59,Eketahuna,All Locations,-40.63333333333333,175.71666666666667,,,black
60,"Ellesmere, L.",All Locations,-43.78333333333333,172.46666666666667,,,black
61,Eltham,All Locations,-39.43333333333333,174.31666666666666,,,black
62,Eyre Mts.,All Locations,-45.416666666666664,168.41666666666666,,,black
63,Fairlie,All Locations,-44.083333333333336,170.81666666666666,,,black
64,"Farewell, C.",All Locations,-40.483333333333334,172.71666666666667,,,black
65,Featherston,All Locations,-41.1,175.33333333333334,,,black
66,Feilding,All Locations,-40.21666666666667,175.58333333333334,,,black
67,Foveaux Str.,All Locations,-46.7,168.16666666666666,,,black
68,Foxton,All Locations,-40.483333333333334,175.3,,,black
69,Garvie Mts.,All Locations,-45.5,168.83333333333334,,,black
70,George Sound,All Locations,-44.86666666666667,167.41666666666666,,,black
71,Gisborne,All Locations,-38.65,178.08333333333334,,,black
72,Golden B.,All Locations,-40.666666666666664,172.83333333333334,,,black
73,Gore,All Locations,-46.083333333333336,168.96666666666667,,,black
74,Granity,All Locations,-41.65,171.85,,,black
75,Great Barrier I.,All Locations,-36.18333333333333,175.41666666666666,,,black
76,Grey,All Locations,-42.45,171.2,,,black
77,Greymouth,All Locations,-42.483333333333334,171.21666666666667,,,black
78,Greytown,All Locations,-41.083333333333336,175.48333333333332,,,black
79,Haast,All Locations,-43.833333333333336,169.03333333333333,,,black
80,Halcombe,All Locations,-40.13333333333333,175.5,,,black
